broad_group,event_date,date,t_month,value_index
Gallium/Germanium,2023-08-01,2022-08-01,-12,90.4747791021943
Gallium/Germanium,2023-08-01,2022-09-01,-11,89.91204410164897
Gallium/Germanium,2023-08-01,2022-10-01,-10,80.23541121616664
Gallium/Germanium,2023-08-01,2022-11-01,-9,79.75561087583925
Gallium/Germanium,2023-08-01,2022-12-01,-8,126.12011443562989
Gallium/Germanium,2023-08-01,2023-01-01,-7,94.10995519327575
Gallium/Germanium,2023-08-01,2023-02-01,-6,84.2031349558137
Gallium/Germanium,2023-08-01,2023-03-01,-5,118.04382134558746
Gallium/Germanium,2023-08-01,2023-04-01,-4,106.23028309883284
Gallium/Germanium,2023-08-01,2023-05-01,-3,94.79896362363263
Gallium/Germanium,2023-08-01,2023-06-01,-2,96.57574684518246
Gallium/Germanium,2023-08-01,2023-07-01,-1,100.14805013095088
Gallium/Germanium,2023-08-01,2023-08-01,0,88.35507261241074
Gallium/Germanium,2023-08-01,2023-09-01,1,92.00123986607161
Gallium/Germanium,2023-08-01,2023-10-01,2,64.9080787504866
Gallium/Germanium,2023-08-01,2023-11-01,3,88.1480655904115
Gallium/Germanium,2023-08-01,2023-12-01,4,89.86710592473062
Gallium/Germanium,2023-08-01,2024-01-01,5,66.53744269380536
Gallium/Germanium,2023-08-01,2024-02-01,6,61.64915296857528
Gallium/Germanium,2023-08-01,2024-03-01,7,75.33980852215488
Gallium/Germanium,2023-08-01,2024-04-01,8,82.13811815408899
Gallium/Germanium,2023-08-01,2024-05-01,9,74.17530707501935
Gallium/Germanium,2023-08-01,2024-06-01,10,72.25326015689234
Gallium/Germanium,2023-08-01,2024-07-01,11,53.19563781495859
Gallium/Germanium,2023-08-01,2024-08-01,12,60.86817197130995
Graphite,2023-12-01,2022-12-01,-12,113.4662594563429
Graphite,2023-12-01,2023-01-01,-11,120.05120063077656
Graphite,2023-12-01,2023-02-01,-10,99.10324971892467
Graphite,2023-12-01,2023-03-01,-9,120.0136804910583
Graphite,2023-12-01,2023-04-01,-8,95.04254083253095
Graphite,2023-12-01,2023-05-01,-7,98.63717294608917
Graphite,2023-12-01,2023-06-01,-6,94.8655196461152
Graphite,2023-12-01,2023-07-01,-5,106.67086454692792
Graphite,2023-12-01,2023-08-01,-4,94.67483578418026
Graphite,2023-12-01,2023-09-01,-3,88.32192357693268
Graphite,2023-12-01,2023-10-01,-2,80.30843341521732
Graphite,2023-12-01,2023-11-01,-1,135.1584230306266
Graphite,2023-12-01,2023-12-01,0,38.60076274517461
Graphite,2023-12-01,2024-01-01,1,46.66379392804806
Graphite,2023-12-01,2024-02-01,2,61.9712952398899
Graphite,2023-12-01,2024-03-01,3,92.61060685954006
Graphite,2023-12-01,2024-04-01,4,81.36485802537065
Graphite,2023-12-01,2024-05-01,5,77.40646715895933
Graphite,2023-12-01,2024-06-01,6,67.23930638710345
Graphite,2023-12-01,2024-07-01,7,49.01964786987956
Graphite,2023-12-01,2024-08-01,8,59.048907154003025
Graphite,2023-12-01,2024-09-01,9,59.24580956058466
Graphite,2023-12-01,2024-10-01,10,53.93167613273751
Graphite,2023-12-01,2024-11-01,11,66.593799490515
Graphite,2023-12-01,2024-12-01,12,67.32356390430171
